Standard,Requirement,Status,Evidence,Owner,Issue,Severity,Fix Required,Retest Date
Product Clarity,Problem statement clearly explains fragmented/manual club administration,Not Tested,,,,,,
Product Clarity,Exact users are listed including students presidents executives advisors admins and feedback manager,Not Tested,,,,,,
Product Clarity,Core workflow is defined as join club submit dues proof verify payment activate membership,Not Tested,,,,,,
Product Clarity,Week 2 success definition includes onboarding core workflow completion and no critical blockers,Not Tested,,,,,,
Product Clarity,What We Are Testing is clearly stated for real club onboarding dues proposals reports feedback and notifications,Not Tested,,,,,,
Workflow Mapping,CampusOne login and profile access workflow is mapped and tested,Not Tested,,,,,,
Workflow Mapping,Discover and join club workflow is mapped and tested,Not Tested,,,,,,
Workflow Mapping,Dues submission and verification workflow is mapped and tested,Not Tested,,,,,,
Workflow Mapping,Membership activation workflow is mapped and tested,Not Tested,,,,,,
Workflow Mapping,Proposal approval workflow is mapped and tested,Not Tested,,,,,,
Workflow Mapping,Event RSVP and QR check-in workflow is mapped and tested,Not Tested,,,,,,
Workflow Mapping,Report download and media archive workflow is mapped and tested,Not Tested,,,,,,
Workflow Mapping,App feedback submission and review workflow is mapped and tested,Not Tested,,,,,,
Ownership,Deployment Lead is confirmed as Migaki,Not Tested,,,,,,
Ownership,Onboarding Owner is named,Not Tested,,,,,,
Ownership,Technical Owner is named,Not Tested,,,,,,
Ownership,Support Lead is named,Not Tested,,,,,,
Ownership,Monitoring Lead is named,Not Tested,,,,,,
Ownership,Feedback Lead is named,Not Tested,,,,,,
Onboarding,New student can access NileHive through CampusOne without developer help,Not Tested,,,,,,
Onboarding,Guided onboarding appears for first-time users,Not Tested,,,,,,
Onboarding,Guided onboarding can be restarted with Help Guide,Not Tested,,,,,,
Onboarding,Student understands NileHive purpose within 2 minutes,Not Tested,,,,,,
Onboarding,Student can find Discover Clubs independently,Not Tested,,,,,,
Onboarding,Profile setup can be completed independently,Not Tested,,,,,,
Onboarding,University ID requirement blocks missing or invalid ID with friendly error,Not Tested,,,,,,
Onboarding,Welcome or orientation material exists,Not Tested,,,,,,
Core Workflow,Student can discover a club,Not Tested,,,,,,
Core Workflow,Student can submit club join request,Not Tested,,,,,,
Core Workflow,Student can submit dues or payment proof,Not Tested,,,,,,
Core Workflow,Admin can view dues pending verification,Not Tested,,,,,,
Core Workflow,President can view own-club dues pending verification,Not Tested,,,,,,
Core Workflow,Admin or president can approve dues without raw database error,Not Tested,,,,,,
Core Workflow,Admin or president can reject dues with readable status,Not Tested,,,,,,
Core Workflow,Membership becomes active after verification,Not Tested,,,,,,
Core Workflow,Student can see membership status after logout and login,Not Tested,,,,,,
Core Workflow,Primary workflow can be completed by non-builder tester,Not Tested,,,,,,
Technical Stability,Production frontend loads on desktop,Not Tested,,,,,,
Technical Stability,Production frontend loads on mobile browser,Not Tested,,,,,,
Technical Stability,Backend ready endpoint returns success,Not Tested,,,,,,
