"Standard","Requirement","Status","Evidence","Owner","Issue","Severity","Fix Required","Retest Date"
"Product Clarity","Problem statement clearly explains fragmented/manual club administration","Pass","","Goodluck Jesse Kassa","","","",""
"Product Clarity","Exact users are listed including students presidents executives advisors admins and feedback manager","Pass","","Goodluck Jesse Kassa","","","",""
"Product Clarity","Core workflow is defined as join club submit dues proof verify payment activate membership","Pass","","Goodluck Jesse Kassa","","","",""
"Product Clarity","Week 2 success definition includes onboarding core workflow completion and no critical blockers","Pass","","Rita Ude","","","",""
"Product Clarity","What We Are Testing is clearly stated for real club onboarding dues proposals reports feedback and notifications","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","CampusOne login and profile access workflow is mapped and tested","Not Tested","","Goodluck Jesse Kassa","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Workflow Mapping","Discover and join club workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Dues submission and verification workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Membership activation workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Proposal approval workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Event RSVP and QR check-in workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Report download and media archive workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","App feedback submission and review workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Ownership","Deployment Lead is confirmed as Migaki","Pass","","Goodluck Jesse Kassa","","","",""
"Ownership","Onboarding Owner is named","Pass","","Rita Ude","","","",""
"Ownership","Technical Owner is named","Pass","","Goodluck Jesse Kassa","","","",""
"Ownership","Support Lead is named","Pass","","Josiah","","","",""
"Ownership","Monitoring Lead is named","Pass","","Goodluck Jesse Kassa","","","",""
"Ownership","Feedback Lead is named","Pass","","Goodluck Jesse Kassa","","","",""
"Onboarding","New student can access NileHive through CampusOne without developer help","Not Tested","","Rita Ude","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Onboarding","Guided onboarding appears for first-time users","Pass","","Kamsi Ivoke","","","",""
"Onboarding","Guided onboarding can be restarted with Help Guide","Pass","","Kamsi Ivoke","","","",""
"Onboarding","Student understands NileHive purpose within 2 minutes","Pass","","Rita Ude","","","",""
"Onboarding","Student can find Discover Clubs independently","Pass","","Rita Ude","","","",""
"Onboarding","Profile setup can be completed independently","Pass","","Rita Ude","","","",""
"Onboarding","University ID requirement blocks missing or invalid ID with friendly error","Pass","","Rita Ude","","","",""
"Onboarding","Welcome or orientation material exists","Pass","","Rita Ude","","","",""
"Core Workflow","Student can discover a club","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Student can submit club join request","Pass","","Goodluck Jesse Kassa","","","",""
